species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,55.45140163283226,17.746008302509704,241.12198660001258,5470.337815687685,male,2009
Gentoo,Biscoe,57.335765090921555,14.89771362373772,217.88506530492504,5323.788686924765,male,2007
Gentoo,Torgersen,33.29869922693919,18.68887419075728,217.82400839913052,4565.909138833809,male,2009
Gentoo,Biscoe,46.4962864044738,14.494620957027761,212.18455722309122,5345.304619628595,female,2009
Gentoo,Biscoe,53.909615542774524,18.67674789283198,223.82797166341751,3601.2940807012205,female,2007
Adelie,Dream,52.098366441189846,21.118307594586238,186.4407255476367,4171.20058682737,male,2007
Gentoo,Torgersen,31.530035106298836,16.93479604189159,207.26350487121886,4357.3719878397715,female,2008
Gentoo,Dream,60.17059411126687,23.668089648704793,209.45384091649518,4989.978779802466,male,2009
Gentoo,Dream,32.22204696298796,18.506949910607016,200.63277385616442,3469.151949709021,male,2008
Gentoo,Biscoe,52.96492452575916,14.9110559601164,180.1468691804348,4009.8565053342095,female,2007
Gentoo,Biscoe,33.290935362917146,14.607540505945778,230.55090674419628,4102.947190487307,female,2008
Gentoo,Torgersen,41.7798091505191,17.986259269703353,205.69827385331044,3125.6971337252644,male,2009
Adelie,Dream,37.00413265409134,17.472763141106203,207.48096426482002,5090.176860805493,female,2007
Gentoo,Biscoe,54.98512834305143,12.300998602871012,227.20591604793313,6858.920346906387,male,2007
Gentoo,Torgersen,43.422647015365804,14.17227934128184,196.62401999035546,2373.6551781888975,female,2007
Chinstrap,Biscoe,48.40765285331897,12.65724516432707,222.8433164862899,6435.863035235685,female,2008
Gentoo,Dream,61.272844894705784,22.144223677309835,206.5765220064919,4224.676586339082,male,2008
Gentoo,Biscoe,48.62782642086625,11.899555278505972,203.18506357628138,5147.617554252761,male,2007
Adelie,Biscoe,41.3469778364598,15.127543873994641,181.3139202318645,4402.365525349962,female,2008
Gentoo,Dream,42.02839347154989,16.860418419154755,201.73807086180665,4548.1372835015445,female,2008
Gentoo,Torgersen,39.39225873119275,18.341422143931922,196.65358839871146,3809.7142530516426,female,2009
Gentoo,Biscoe,34.90025402227999,14.341136246875598,245.996259002574,4978.916024180488,male,2008
Gentoo,Biscoe,55.460478097333635,16.668747412623397,230.78514047176824,5677.339823292903,male,2009
Adelie,Dream,43.520145639168476,19.888867621725048,240.6185770755562,2349.111142170535,male,2009
Gentoo,Torgersen,29.367513965301168,18.23760587773806,176.48746626214086,3419.8056711053687,male,2008
Gentoo,Biscoe,42.2511151384288,18.671171386769053,206.07442733415775,3373.7884502259567,female,2007
Gentoo,Dream,65.60090088602281,15.575014275058777,191.93124723679972,2562.687715048275,female,2007
Chinstrap,Torgersen,45.11248400314388,18.25579661214934,153.20324940410867,2689.511482669717,female,2009
Gentoo,Torgersen,41.34019500497068,20.480395851928655,175.72486929240915,5211.641688103356,female,2008
Gentoo,Dream,44.86101840284423,19.83022399215009,193.62389165949563,3096.43421068525,male,2007
Gentoo,Biscoe,64.28033222125069,15.112283339402993,218.97191318484371,5415.249151289161,male,2009
Chinstrap,Biscoe,52.6743291640097,19.635670030321666,239.10913636575853,5564.134511161945,male,2009
Chinstrap,Dream,52.858997578602136,17.574907409822075,191.51159239146241,3423.8563164175675,female,2007
Gentoo,Dream,31.63587415969014,18.163780875964747,178.76493702603784,4387.682933567335,male,2008
Chinstrap,Biscoe,39.19477536830511,19.275317006381,196.65665153469448,3694.511114344372,female,2007
Gentoo,Biscoe,46.33019524200766,18.47848026785185,200.0133181936458,6055.662317525629,male,2008
Gentoo,Torgersen,37.47974090084719,19.182826663323926,195.3161408667089,3519.3111704994776,female,2007
Gentoo,Dream,44.39115669750488,17.557312297745806,202.903450528759,3716.8194326765456,male,2007
Gentoo,Torgersen,38.86288106871961,17.359935162102225,207.08312882697845,3966.0016284596945,female,2008
Gentoo,Biscoe,54.609542811691625,17.88614752871217,213.3400544740486,5564.038258640168,male,2009
Gentoo,Biscoe,29.610334060699376,17.81870134440048,198.87221869488667,2904.7890123619377,female,2008
Gentoo,Torgersen,42.06719455527642,15.794793474565191,181.4630567576385,2698.4611694130194,female,2008
Gentoo,Biscoe,49.91524502274186,11.485047679678477,215.96856825309789,5681.941964070444,male,2009
Gentoo,Biscoe,60.71408397574062,9.267519002100979,218.5664106977865,4597.718771147249,female,2007
Gentoo,Biscoe,51.22394910644886,12.74827070322777,231.68528283806367,5664.626556865317,female,2009
Adelie,Dream,44.101984428934166,17.245075145701755,192.6411047045462,3100.0114069669303,female,2009
Gentoo,Dream,52.04652538760396,18.857459056585686,196.65736897977737,3978.7427910481365,female,2009
Adelie,Biscoe,43.70254044487218,13.810948388140753,231.41024223190536,5800.418921406581,female,2008
Gentoo,Torgersen,46.043034491458116,19.13742118023604,195.74267994750247,3790.7265603537803,female,2007
Gentoo,Biscoe,46.814420069532844,15.966234816708457,216.8732908288247,5135.569068138994,female,2008
Gentoo,Biscoe,50.785890747272646,12.55184942486779,206.59473890810156,4796.91570752717,female,2009
Gentoo,Dream,48.51005089066884,20.387057136854075,200.62549727753034,1947.4298165236785,female,2009
Gentoo,Dream,55.64308720366677,17.332246075985655,177.7438750443204,2450.0241606442755,female,2008
Chinstrap,Dream,39.11887552628334,22.03138747594692,214.39766129199631,3830.1136707115165,male,2007
Gentoo,Biscoe,38.98581641153397,14.975029144116053,200.50493883016583,2263.392872578886,female,2008
Gentoo,Dream,42.400414918833526,23.417064508566405,212.6549405762784,4699.346039439903,male,2008
Gentoo,Biscoe,51.004737445384485,16.67944425732179,220.4871230904763,4613.099009859961,male,2007
Gentoo,Biscoe,53.80284083122229,11.944789438526502,211.74977542928593,3866.7370718125826,female,2007
Gentoo,Biscoe,56.54812092802567,16.67093052365118,211.67673518884706,4556.815119011926,female,2008
Chinstrap,Torgersen,30.515224674264484,20.08280651946977,194.63488580889103,2674.3341722346568,male,2007
Adelie,Biscoe,42.82048536512894,15.570455695632983,207.98749380872096,4648.828570658797,female,2007
Adelie,Dream,48.103533915249955,22.577819854801444,192.41728386639883,3518.3897847744047,male,2009
Gentoo,Biscoe,28.89555555694323,17.923397538526736,166.09756139161746,3785.0465000792155,female,2007
Gentoo,Dream,47.53857052852041,17.0910786164218,211.79624685252486,4176.9631507710965,female,2007
Gentoo,Biscoe,34.39264008713459,17.828647870950654,189.44761602682357,4349.732456121662,male,2008
Gentoo,Dream,45.67252931008562,20.78624877078436,208.60936267194742,4452.063182535757,male,2008
Gentoo,Dream,42.36901584407197,16.970717367293737,184.75775077308018,3555.7399297765137,female,2008
Gentoo,Torgersen,26.45474272511229,13.602659174740841,178.13814210637548,3859.42122249732,female,2009
Gentoo,Biscoe,39.65902505453853,10.418722814423194,202.3365362925836,4880.320577049397,female,2009
Gentoo,Biscoe,42.82870618912669,14.753492741950646,233.3403654114987,5915.211014151011,female,2009
Gentoo,Dream,48.39097771068118,14.933677351054584,187.4811815246209,4085.513985610405,female,2007
Gentoo,Biscoe,41.252875228959304,13.083604055095273,200.48397931308494,6137.634473514169,male,2008
Chinstrap,Dream,46.52228163342648,18.240541300628642,210.97382558559494,3807.274347874562,female,2009
Chinstrap,Biscoe,57.47248121787081,12.986063862708928,222.929175026931,5656.886139378843,male,2008
Adelie,Dream,57.98818801773213,18.983339633221167,213.07992665750334,6004.252040261653,male,2009
Gentoo,Dream,52.15189512143384,12.10075233639742,175.52241078792804,4242.451953284671,female,2007
Gentoo,Biscoe,59.466999559698245,16.533076691971164,203.1993871030318,4935.738561187478,male,2009
Gentoo,Biscoe,61.338919919799146,18.50684917131563,222.66269485773103,4010.051244275788,male,2007
Chinstrap,Biscoe,36.580070050645,21.481937257246965,168.92099720801096,2538.378735944436,male,2009
Gentoo,Dream,41.519916128682425,17.23237860276744,198.81338068416142,3038.72422087875,female,2009
Adelie,Dream,50.295573680075385,20.54083913306235,202.29797704716486,5188.271619654499,male,2008
Chinstrap,Dream,55.53856856186344,17.305341997699745,177.47174868776932,2038.48313139937,female,2009
Gentoo,Biscoe,38.76367906298578,20.29642258554994,184.48871613530574,3605.3146951723184,female,2009
Gentoo,Biscoe,49.82921066263888,14.483478776548658,222.99118318685032,5601.614600674329,female,2009
Gentoo,Biscoe,48.6159262430981,15.744798015610058,216.67181508948144,4805.324295037932,female,2008
Gentoo,Torgersen,34.30325417212437,12.948332978863458,162.29685448636346,3153.546676074803,female,2007
Gentoo,Biscoe,48.79304789671512,21.17268074475642,209.94904712904432,2970.6049045359023,male,2008
Gentoo,Torgersen,35.293474739610865,19.340141120213037,217.6287458427094,4071.9493048607364,male,2008
Gentoo,Biscoe,59.44079120487736,15.807121966509138,251.320863629776,4885.842061071611,male,2008
Gentoo,Dream,39.98023324684846,20.23305189104351,190.45815326218633,3634.8204099639406,female,2008
Gentoo,Dream,60.963314065574764,21.981061212806917,213.11639226811405,4415.572140684841,male,2009
Gentoo,Dream,59.396890557924266,21.71822829991321,209.2206995762788,2641.5528939557835,male,2007
Adelie,Torgersen,27.912722661403524,19.660645830883794,223.53527803857634,3506.580502327263,male,2007
Gentoo,Biscoe,45.865503611966425,13.73272581573224,199.10692810833368,5352.7928589197745,female,2008
Gentoo,Biscoe,53.454684387160164,16.68127078255109,208.3692288816381,4494.426398466358,male,2009
Gentoo,Biscoe,64.04955447898229,15.96421857170049,242.38952329829547,6875.085722397394,male,2008
Gentoo,Torgersen,43.381637094622846,16.729288572116655,183.68845486957764,2946.4522566490305,female,2008
Gentoo,Dream,39.46530014705847,17.48395962420624,181.4122908611992,3579.9847702739658,female,2007
Gentoo,Biscoe,41.40698617309139,18.732451814393837,225.6628108277487,5871.239261313525,male,2007
Gentoo,Dream,38.49429739260581,16.7584894935295,158.23189105789393,2714.743612611435,male,2009
Gentoo,Biscoe,45.59597067103561,12.747452971768723,230.54306986565476,4946.881420804456,male,2007
Chinstrap,Dream,34.048401094283186,19.771250230704403,186.87777702267113,4205.389878220818,male,2007
Adelie,Dream,50.131280089624106,17.82201475169461,175.52303455936936,3888.5657020805784,male,2009
Gentoo,Biscoe,35.95636624721048,15.733464041113509,192.44925087367287,5168.612812142617,female,2008
Chinstrap,Biscoe,38.889204138753385,11.024314339085837,237.7140459822541,3139.194448184395,female,2008
Gentoo,Torgersen,35.49125548757692,19.27835635311626,176.93158344559467,2127.332416642767,female,2007
Gentoo,Torgersen,37.40036226631428,21.50682278982859,169.17392352795494,4202.403717639643,female,2009
Gentoo,Dream,59.621469748633814,15.525445304572132,185.15846913170108,3632.0013753492563,female,2007
Gentoo,Biscoe,48.39549236085762,14.424911922254706,209.72268608301033,4420.3803393440585,female,2009
Gentoo,Torgersen,33.823897521673494,19.602977025145407,196.6170815817399,4738.983359979117,male,2007
Chinstrap,Biscoe,21.444684318056897,20.951859268965983,210.10419913417294,2411.5601935568025,female,2009
Gentoo,Biscoe,52.32635725819395,11.655584534576487,230.00209592257482,5110.573995097186,male,2009
Chinstrap,Torgersen,35.99970944107298,17.616260917965825,187.37314047975514,4177.140296226885,female,2008
Gentoo,Dream,34.442104267882755,12.977799760525034,199.37475074220563,3516.5941006122584,female,2009
Gentoo,Biscoe,37.560152403015856,15.939652909174955,190.81845358112278,5446.100117229325,female,2008
Gentoo,Biscoe,44.334058303344776,18.293075653875846,179.27704466528087,3725.9856575184713,male,2009
Chinstrap,Biscoe,54.81181917347901,15.676625330806598,219.38762458435983,5630.510311989098,male,2009
Gentoo,Biscoe,47.80606614279506,11.08143305688267,205.3782059484332,3541.3658400800687,female,2008
Chinstrap,Dream,46.92921690209722,19.3140777294639,190.5876358511812,4345.784562880923,female,2009
Gentoo,Dream,40.154720059496775,19.180380398692417,173.5850679181293,4939.24233182169,female,2007
Gentoo,Dream,42.498635145935175,17.84002750081246,191.0315066768375,4535.976689387204,male,2008
Gentoo,Biscoe,50.25533074656116,14.702344409842773,213.74360777992337,5707.364932158625,male,2008
Gentoo,Torgersen,33.39799950822682,20.231495737855425,207.19530080152205,3897.095909323293,male,2009
Gentoo,Biscoe,47.82665377270407,15.291120189458846,190.03499565585122,6446.699115108626,male,2009
Gentoo,Dream,37.018860441432565,16.086867220816327,219.61789049931474,1277.0234014484563,female,2008
Adelie,Dream,48.31976590935731,17.853022414288603,198.94184759880974,5461.69590811741,male,2007
Gentoo,Dream,51.70238411130122,20.379808230472623,196.10451730041814,3634.7667209299557,male,2009
Gentoo,Torgersen,38.75383773218672,16.021550263090642,224.47996703134416,5738.4855878586195,male,2008
Gentoo,Biscoe,47.24343440387311,11.22808297510597,223.67165448682508,6297.694378240452,male,2007
Adelie,Dream,29.8485014832206,21.245868093221247,190.01854557380912,4322.394631115605,male,2009
Gentoo,Biscoe,41.51702560493582,22.592930170398848,186.17493035015622,2861.0559190326485,male,2008
Gentoo,Dream,35.69792619172973,17.258786654209494,164.22809969477277,2912.284899621802,female,2008
Adelie,Dream,41.84545515001148,14.968964230251231,190.1099043368601,3963.6001881255006,male,2008
Gentoo,Biscoe,47.27754517159171,14.322466996841536,207.79162088303,4803.557364792327,female,2008
Gentoo,Dream,46.82294160925142,22.057755578385922,200.63109425827943,3812.2999156965757,male,2008
Gentoo,Dream,30.818602154199823,10.340441711620223,199.82185008607382,3291.6794413161388,female,2007
Gentoo,Biscoe,32.142624230133485,20.006194506638785,165.00036865426998,2972.2201438333223,male,2007
Gentoo,Biscoe,46.397284451816546,12.297006432782613,208.12739399337238,4834.500046701838,female,2009
Chinstrap,Biscoe,39.33540292753952,13.182650557397544,235.56129075760379,5325.893175920327,male,2007
Chinstrap,Dream,40.38192623608427,18.180475640929902,175.16829533235932,2371.07784207276,female,2009
Adelie,Dream,30.528723780930424,16.165936462706867,162.39022426766678,2284.8154324917723,female,2008
Gentoo,Dream,34.6306224750106,15.909129471650951,176.09157252236565,3353.6467538386087,female,2009
Gentoo,Biscoe,47.160918126760244,16.214126084122206,201.67379886878024,5961.0802644815685,male,2008
Chinstrap,Dream,28.967647322550956,17.219269352523334,185.56529051726687,3766.661416261493,female,2008
Gentoo,Dream,49.78974764774148,19.504043009058226,201.05702036359307,4685.961222940283,male,2009
Chinstrap,Dream,42.015396190333014,22.29573918887543,188.40627319093022,3343.9741708365336,male,2009
Gentoo,Biscoe,45.79548977300135,13.454565481130986,199.40589301519617,5387.259798169049,female,2009
Chinstrap,Biscoe,46.56374609480515,14.974655587352716,208.06068346499148,4753.354194847198,female,2009
Gentoo,Biscoe,46.45365600050952,16.848495757986086,191.1022773765697,2375.897031854418,female,2009
Gentoo,Dream,41.19146467095628,17.154307195793333,171.5196009242814,3600.101433838433,female,2009
Gentoo,Biscoe,45.94791453744167,17.19426778659522,177.0246921393194,3178.302894275318,male,2007
Gentoo,Dream,24.700618562041683,16.89472864581747,177.28511232444941,3444.1949989727655,male,2009
Chinstrap,Biscoe,53.87482268608313,17.5993135589845,256.33189499110887,6843.5785357367695,male,2009
Gentoo,Biscoe,36.80031978959401,14.1657880743341,205.1638314340486,3068.564852245562,female,2007
Gentoo,Dream,40.49869214434617,20.275754467098157,165.85472534256448,4432.53378262405,male,2007
Chinstrap,Biscoe,45.86525559579837,10.197488431994975,220.03578163703472,2427.196143678634,female,2007
Gentoo,Biscoe,57.233374929324356,14.981067186975272,231.15936752965382,5988.163970212797,male,2009
Adelie,Dream,49.92418542695494,19.08246410053114,188.1502346401719,3910.799582058423,male,2009
Chinstrap,Biscoe,46.03782068758212,16.07130384772562,216.95682665903357,5913.795940106782,male,2007
Gentoo,Dream,43.74930466590858,20.47163280665905,189.2179805640772,4091.2889715656397,female,2009
Adelie,Dream,41.84342807579094,15.86450547267327,205.7661066961883,2972.7334566217387,female,2009
Adelie,Dream,36.98912838031262,15.735520086640193,158.6858502044754,2549.568473502608,female,2007
Gentoo,Biscoe,48.07012214899437,11.270174342320622,199.36873846355897,4637.014799033266,female,2009
Gentoo,Biscoe,53.392266266689035,12.764937146410984,225.15158008515715,4190.080916827594,female,2007
Gentoo,Dream,49.59382124125912,17.834988048783924,171.54792458138064,3563.0517038669013,male,2009
Gentoo,Biscoe,53.964130262498195,15.274048486863018,239.43716365449103,4644.495384351368,male,2008
Gentoo,Biscoe,42.39479741509609,12.035301586690181,224.6208879767876,4407.753599083824,female,2009
Gentoo,Biscoe,45.631294101588274,14.851981478488304,218.70030277622968,2704.536292174012,female,2009
Adelie,Biscoe,44.98261559298397,19.302355895694607,248.3380190006884,4783.798297055117,male,2007
Gentoo,Biscoe,45.33745705910495,19.36260235204902,235.70360219408082,5607.151658815341,male,2008
Gentoo,Dream,41.46782002153413,17.210304867475422,201.6301047308851,3939.8175664389173,female,2009
Gentoo,Biscoe,47.092786679725286,15.573851862551974,218.06811197488486,5475.05254834085,male,2009
Chinstrap,Dream,39.75802845614808,13.891837783199385,183.74542277001763,4203.780208561553,female,2007
Adelie,Biscoe,45.862971107497955,12.627292516321685,231.07426124862968,6353.804583194022,female,2009
Gentoo,Dream,30.653837463964056,18.560826324589865,177.28327563117594,3997.9633080447197,female,2008
Gentoo,Biscoe,38.044770545756684,16.62656543508631,188.99536867338264,3407.6127838316534,female,2008
